ETFs/ETCs,Ticker,Exchange,Trading Currency,Base Currency,ISIN,WKN,Valoren,SEDOL,SFDR Classification,"AUM (Base) (as of 
2022-08-12)","NAV (as of 
2022-08-12)",TER,Product Type,UCITS,Registrations,,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGI FP,Paris,EUR,USD,IE00BL643144,A2QB9J,57473380,BPG9MV0,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Alerian Midstream Energy Dividend UCITS ETF - Distributing,PMLP LN,LSE,GBp,USD,IE00BKPTXQ89,A2P4PH,56293164,BL96TT7,Article 6,"21,261,148",12.5806,0.40%,ETF,Y,"AT,DK,FI,DE,IE,IT,LU,NL,NO,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
Alerian Midstream Energy Dividend UCITS ETF - Distributing,MMLP LN,LSE,USD,USD,IE00BKPTXQ89,A2P4PH,56293164,BMVFZ02,Article 6,"21,261,148",12.5806,0.40%,ETF,Y,"AT,DK,FI,DE,IE,IT,LU,NL,NO,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
Alerian Midstream Energy Dividend UCITS ETF - Distributing,MMLP IM,Borsa Italiana,EUR,USD,IE00BKPTXQ89,A2P4PH,56293164,BMHVZQ0,Article 6,"21,261,148",12.5806,0.40%,ETF,Y,"AT,DK,FI,DE,IE,IT,LU,NL,NO,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
Alerian Midstream Energy Dividend UCITS ETF - Distributing,JMLP GY,Xetra,EUR,USD,IE00BKPTXQ89,A2P4PH,56293164,BMHVZP9,Article 6,"21,261,148",12.5806,0.40%,ETF,Y,"AT,DK,FI,DE,IE,IT,LU,NL,NO,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
The Medical Cannabis and Wellness UCITS ETF - Accumulating,CBSX GY,Xetra,EUR,USD,IE00BG5J1M21,A2PPE8,51899559,BJBL4D5,Article 6,"20,776,684",6.4444,0.80%,ETF,Y,"AT,DK,FI,DE,IE,IT,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
The Medical Cannabis and Wellness UCITS ETF - Accumulating,CBDP LN,LSE,GBp,USD,IE00BG5J1M21,A2PPE8,51899559,BGSXQX7,Article 6,"20,776,684",6.4444,0.80%,ETF,Y,"AT,DK,FI,DE,IE,IT,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
The Medical Cannabis and Wellness UCITS ETF - Accumulating,CBDX LN,LSE,USD,USD,IE00BG5J1M21,A2PPE8,51899559,BGSXSL9,Article 6,"20,776,684",6.4444,0.80%,ETF,Y,"AT,DK,FI,DE,IE,IT,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
The Medical Cannabis and Wellness UCITS ETF - Accumulating,CBDX SE,SIX,CHF,USD,IE00BG5J1M21,A2PPE8,51899559,BMYC3S4,Article 6,"20,776,684",6.4444,0.80%,ETF,Y,"AT,DK,FI,DE,IE,IT,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
HAN-GINS Cloud Technology Equal Weight UCITS ETF - Accumulating,5XYE GY,Xetra,EUR,USD,IE00BDDRF924,A2JR0H,44096882,BFX38L7,Article 8,"20,227,472",9.7247,0.59%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
